1	5	512	70	0	0	0	0	420	600	0	0
2	5	642	40	0	0	0	0	580	715	0	0
3	5	1475	107	0	0	0	0	1400	1600	0	0
4	5	2082	107	0	0	0	0	1995	2220	0	0
5	5	2275	138	0	0	0	0	2240	2335	0	0
6	5	2465	138	0	0	0	0	2365	2585	0	0
7	5	2672	107	0	0	0	0	2545	2800	0	0
8	2	1057	125	1015	1084	0	0	945	1110	0	0
9	2	1155	30	1135	1192	0	0	1078	1245	0	0
10	11	1575	75	950	1575	0	0	1478	1489	0	0
11	11	1652	40	950	1652	1652	1792	1544	1555	1716	1727
12	1	303	96	263	411	263	411	183	194	391	402
13	1	392	96	263	411	263	411	285	296	485	493
14	1	872	96	868	889	868	889	767	776	0	0
15	1	1168	130	1160	1239	1160	1239	1115	1125	1276	1285
16	1	1227	130	1160	1239	1160	1239	1126	1130	1286	1293
17	1	2958	130	2950	3038	0	0	2868	2879	0	0
