0	169	258	208
258	136	416	208
416	105	577	208
577	74	726	208
807	169	825	172
869	137	890	139
934	105	953	108
960	169	1085	208
1058	107	1083	111
1092	73	1182	77
1160	169	1240	173
1222	73	1311	76
1304	81	1310	95
1290	139	1336	142
1386	172	1438	175
1480	137	1535	141
1570	172	1694	178
1600	77	1603	102
1600	73	1755	75
1828	169	1850	172
1897	72	1948	76
1988	137	2011	140
2052	137	2144	141
2144	111	2150	134
2144	102	2235	106
2240	169	2335	174
2235	137	2400	173
2400	169	2497	177
2497	139	2591	176
2591	170	2657	177
2657	139	2720	177
2720	115	2726	137
2720	106	1874	110
2946	169	3070	174
