1	1	250	128	4	251	251	526	141	167	355	375
2	1	305	128	4	306	306	526	184	200	397	415
3	1	362	128	4	365	365	526	252	265	454	465
4	1	456	128	4	456	456	526	334	345	520	535
5	2	800	95	790	830	0	0	707	945	0	0
6	2	1220	60	1210	1255	0	0	1130	1320	0	0
7	3	1380	132	1220	1400	0	0	1220	1400	0	0	10	1
8	4	255	150	4	306	255	800	0	0	353	366
9	4	644	150	250	644	255	800	520	535	0	0
10	4	950	87	849	937	948	1401	824	840	1056	1070
11	4	1291	150	1136	1388	1136	1388	1212	1225	1357	1369
12	4	1353	87	978	1353	1125	1420	1259	1269	0	0
13	10	557	63	0	0	0	0	444	458	647	664
14	1	1308	64	1290	1365	1290	1365	1219	1231	1410	1427
15	1	1447	64	1447	1464	1444	1452	1347	1357	0	0
16	1	1486	30	1478	1527	1478	1527	1347	1357	0	0
17	1	1910	128	1803	2036	1794	1805	1794	1805	0	0
18	1	1961	128	1803	2036	1794	1805	1859	1872	0	0
